"","recording","site_name","playlist","time","date","MANUAL_MATCH","template","threshold","identifikators","PM_MATCH","validated_fragment"
"62","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"63","20250823_000000.WAV","6_ZdzE07_KZP","6_ZdzE07_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","6_ZdzE07_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"64","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",1,0
"65","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"66","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"67","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"68","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"69","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"70","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"71","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"72","20250823_000000.WAV","7_ZdzE05_KZP","7_ZdzE05_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","7_ZdzE05_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"73","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",NA,NA
"74","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"75","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"76","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"77","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"78","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"79","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"80","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"81","20250823_000000.WAV","8_ZdzE09_DA","8_ZdzE09_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","8_ZdzE09_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"82","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",NA,NA
"83","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"84","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"85","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"86","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"87","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"88","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"89","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"90","20250823_000000.WAV","9_ZdzE01_DA","9_ZdzE01_DA_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","9_ZdzE01_DA_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"91","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.1","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_0.5 sec_0.1",NA,NA
"92","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.2","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_0.5 sec_0.2",NA,NA
"93","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.3","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_0.5 sec_0.3",NA,NA
"94","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.1","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_1.0 sec_0.1",NA,NA
"95","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.2","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_1.0 sec_0.2",NA,NA
"96","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.3","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_1.0 sec_0.3",NA,NA
"97","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.1","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_2.0 sec_0.1",NA,NA
"98","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.2","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_2.0 sec_0.2",NA,NA
"99","20250823_003000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.3","1_AiAu03_KZP_480_part_1_2025-08-23_00:30:00_2.0 sec_0.3",NA,NA
"100","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.1","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_0.5 sec_0.1",NA,NA
"101","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.2","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_0.5 sec_0.2",NA,NA
"102","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.3","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_0.5 sec_0.3",NA,NA
"103","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.1","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_1.0 sec_0.1",NA,NA
"104","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.2","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_1.0 sec_0.2",NA,NA
"105","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.3","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_1.0 sec_0.3",NA,NA
"106","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.1","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_2.0 sec_0.1",NA,NA
"107","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.2","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_2.0 sec_0.2",NA,NA
"108","20250823_003000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.3","10_ZdzE06_KZP_480_part_1_2025-08-23_00:30:00_2.0 sec_0.3",NA,NA
"109","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.1","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_0.5 sec_0.1",NA,NA
"110","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.2","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_0.5 sec_0.2",NA,NA
"111","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"0.5 sec","0.3","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_0.5 sec_0.3",NA,NA
"112","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.1","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_1.0 sec_0.1",NA,NA
"113","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.2","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_1.0 sec_0.2",NA,NA
"114","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"1.0 sec","0.3","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_1.0 sec_0.3",NA,NA
"115","20250823_003000.WAV","2_AiAu09_DA","2_AiAu09_DA_480_part_1",00:30:00,2025-08-23,0,"2.0 sec","0.1","2_AiAu09_DA_480_part_1_2025-08-23_00:30:00_2.0 sec_0.1",NA,NA
